Artist,Technique,Year,Type,Width (cm),Height (cm),Year of sale,Price (BRL),img_url,url,Sold,Technique_fix,Título,Década,Error,Descrição,Século,artist_link,Fonte de Pesquisa,Width,Height,Price (USD)
Vicente do Rego Monteiro,Nanquim sobre papel,1960.0,Pinturas,54.0,74.0,2001,8400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1436.jpg,https://www.catalogodasartes.com.br/obra/DUzt/,True,desenho,,,,,,,,,,
Candido Portinari,Grafite e lápis de cor sobre papel,1951.0,Pinturas,18.2,27.0,2016,12000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_726617.jpg,https://www.catalogodasartes.com.br/obra/AGttDA/,False,desenho,,,,,,,,,,
Antonio Ferrigno,Óleo sobre Tela,,Pinturas,41.0,27.0,2007,35000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2656.jpg,https://www.catalogodasartes.com.br/obra/GtBt/,True,pintura,,,,,,,,,,
Ant,"Guache,aquarela e nanquim",1959.0,Pinturas,46.0,61.0,2000,21100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1406.jpg,https://www.catalogodasartes.com.br/obra/DUet/,True,pintura,,,,,,,,,,
Candido Portinari,Óleo sobre Tela,,Pinturas,48.0,60.0,2020,3300.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_941207.jpg,https://www.catalogodasartes.com.br/obra/PUDGeA/,False,pintura,,,,,,,,,,
Candido Portinari,Rotogravura,,Pinturas,47.0,32.5,2023,350.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1150829.jpg,https://www.catalogodasartes.com.br/obra/DDBecGP/,False,reprodução,,,,,,,,,,
Rubens Gerchman,Acrílica sobre tela colada sobre cartão,1995.0,Pinturas,36.0,46.0,2007,3500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_611.jpg,https://www.catalogodasartes.com.br/obra/tDD/,True,pintura,,,,,,,,,,
Candido Portinari,Grafite,1956.0,Pinturas,17.0,33.0,2002,22050.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_290.jpg,https://www.catalogodasartes.com.br/obra/GPe/,True,desenho,,,,,,,,,,
Candido Portinari,AZULEJO,,Esculturas/Objetos,30.0,15.0,2013,3900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_132414.jpg,https://www.catalogodasartes.com.br/obra/DzGUDU/,True,outro,,,,,,,,,,
Candido Portinari,Gravura em metal(água-forte),,Pinturas,22.5,33.0,2021,6000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_994851.jpg,https://www.catalogodasartes.com.br/obra/PPUcBD/,False,reprodução,,,,,,,,,,
Candido Portinari,Gravura em metal,,Pinturas,19.0,25.0,2009,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_41574.jpg,https://www.catalogodasartes.com.br/obra/UDBAU/,True,reprodução,,,,,,,,,,
Candido Portinari,Gravura a ponta-seca e guache sobre papel,,Pinturas,18.8,24.5,2013,7500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_112975.jpg,https://www.catalogodasartes.com.br/obra/DDGPAB/,True,pintura,,,,,,,,,,
Hector Julio Paride Bernab,vinil sobre papel colado em chapa de madeira industrializada,1984.0,Pinturas,34.0,49.0,2007,7000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2531.jpg,https://www.catalogodasartes.com.br/obra/GBzD/,True,pintura,,,,,,,,,,
Arthur Timotheo,Óleo sobre cartão,1909.0,Pinturas,25.0,20.0,2007,1700.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_999.jpg,https://www.catalogodasartes.com.br/obra/PPP/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho a nanquim bico-de-pena sobre papel,,Pinturas,30.0,20.0,2021,85000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_984899.jpg,https://www.catalogodasartes.com.br/obra/PcUcPP/,False,desenho,,,,,,,,,,
Candido Portinari,Óleo sobre Tela,1940.0,Pinturas,46.0,38.0,2014,1390000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_156396.jpg,https://www.catalogodasartes.com.br/obra/DBtzPt/,True,pintura,,,,,,,,,,
Ant,Óleo sobre Tela,1954.0,Pinturas,55.0,46.0,2004,180000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1386.jpg,https://www.catalogodasartes.com.br/obra/Dzct/,True,pintura,,,,,,,,,,
Aluisio Carvao,Óleo sobre Tela,1978.0,Pinturas,100.0,50.0,2003,20000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_57.jpg,https://www.catalogodasartes.com.br/obra/BA/,True,pintura,,,,,,,,,,
Candido Portinari,Ponta-seca,,Pinturas,18.0,28.0,2021,3500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_982779.jpg,https://www.catalogodasartes.com.br/obra/PcGAAP/,False,outro,,,,,,,,,,
Fatima Neves,Técnica mista sobre tela,,Pinturas,170.0,100.0,2007,3500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3062.jpg,https://www.catalogodasartes.com.br/obra/zetG/,False,outro,,,,,,,,,,
Candido Portinari,Desenho à lápis de cor sobre papel,,Pinturas,23.0,41.0,2015,250000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_709627.jpg,https://www.catalogodasartes.com.br/obra/AePtGA/,False,desenho,,,,,,,,,,
Clovis Graciano,Óleo sobre Tela,1946.0,Pinturas,54.0,65.0,2007,40000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1047.jpg,https://www.catalogodasartes.com.br/obra/DeUA/,False,pintura,,,,,,,,,,
Candido Portinari,Agua-forte,,Pinturas,29.0,43.0,2014,5000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_156834.jpg,https://www.catalogodasartes.com.br/obra/DBtczU/,True,reprodução,,,,,,,,,,
Candido Portinari,Desenho,1956.0,Pinturas,24.0,32.0,2008,62000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_22880.jpg,https://www.catalogodasartes.com.br/obra/GGcce/,False,desenho,,,,,,,,,,
Ant,"Aquarela,guache e nanquim",1954.0,Pinturas,62.5,48.0,1998,8400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1421.jpg,https://www.catalogodasartes.com.br/obra/DUGD/,True,pintura,,,,,,,,,,
Fernando Velloso,Técnica Mista,1997.0,Pinturas,100.0,100.0,2007,3300.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3157.jpg,https://www.catalogodasartes.com.br/obra/zDBA/,True,outro,,,,,,,,,,
Roberto Magalhaes,Acrílica sobre tela,1967.0,Pinturas,55.0,46.0,2007,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1276.jpg,https://www.catalogodasartes.com.br/obra/DGAt/,True,pintura,,,,,,,,,,
Fani Maria Gomes Bracher,Óleo sobre Tela,1985.0,Pinturas,73.0,53.0,2007,2100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2559.jpg,https://www.catalogodasartes.com.br/obra/GBBP/,True,pintura,,,,,,,,,,
Candido Portinari,glicée sobre tela,,Pinturas,100.0,55.0,2021,3000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_990525.jpg,https://www.catalogodasartes.com.br/obra/PPeBGB/,False,reprodução,,,,,,,,,,
Candido Portinari,Reprodução s/ tecido,1941.0,Pinturas,112.0,137.5,2015,9800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_161527.jpg,https://www.catalogodasartes.com.br/obra/DtDBGA/,True,reprodução,,,,,,,,,,
Di Cavalcanti,Serigrafia sobre papel,,Pinturas,40.0,58.0,2007,1500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2530.jpg,https://www.catalogodasartes.com.br/obra/GBze/,True,reprodução,,,,,,,,,,
Candido Portinari,Reprodução,,Pinturas,42.5,30.5,2013,1250.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_98910.jpg,https://www.catalogodasartes.com.br/obra/PcPDe/,False,reprodução,,,,,,,,,,
Stella Bianco,Óleo sobre Tela,,Pinturas,40.0,50.0,2007,1000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1106.jpg,https://www.catalogodasartes.com.br/obra/DDet/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho à grafite,,Pinturas,17.0,27.0,2013,45000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_100077.jpg,https://www.catalogodasartes.com.br/obra/DeeeAA/,False,desenho,,,,,,,,,,
Candido Portinari,Desenho a grafite e lápis de cor sobre papel.,1941.0,Pinturas,14.0,9.0,2013,10500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_99494.jpg,https://www.catalogodasartes.com.br/obra/PPUPU/,True,desenho,,,,,,,,,,
Jose Bechara,Lona oxidada,2002.0,Pinturas,250.0,140.0,2004,14000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1525.jpg,https://www.catalogodasartes.com.br/obra/DBGB/,True,outro,,,,,,,,,,
Siron Franco,Óleo sobre Tela,1985.0,Pinturas,70.0,60.0,1997,5250.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_207.jpg,https://www.catalogodasartes.com.br/obra/GeA/,True,pintura,,,,,,,,,,
Elyseo DAngelo Visconti,Giz de cera,,Pinturas,23.0,40.0,2007,3000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1693.jpg,https://www.catalogodasartes.com.br/obra/DtPz/,False,desenho,,,,,,,,,,
Hector Julio Paride Bernab,Acrílica sobre tela,1993.0,Pinturas,120.0,60.0,2007,72000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_574.jpg,https://www.catalogodasartes.com.br/obra/BAU/,True,pintura,,,,,,,,,,
Jose Antonio da Silva,Óleo sobre Tela,1969.0,Pinturas,73.0,50.0,2007,7000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2773.jpg,https://www.catalogodasartes.com.br/obra/GAAz/,True,pintura,,,,,,,,,,
Candido Portinari,Grafite sobre papel,1934.0,Pinturas,13.0,12.5,2010,6800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_45336.jpg,https://www.catalogodasartes.com.br/obra/UBzzt/,True,desenho,,,,,,,,,,
Candido Portinari,Aquarela sobre papel,1941.0,Pinturas,27.0,21.0,2012,120000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_80431.jpg,https://www.catalogodasartes.com.br/obra/ceUzD/,False,pintura,,,,,,,,,,
Candido Portinari,Desenho a grafite sobre papel,1948.0,Pinturas,38.0,20.0,2013,25000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_99487.jpg,https://www.catalogodasartes.com.br/obra/PPUcA/,True,desenho,,,,,,,,,,
Candido Portinari,Técnica mista sobre papel,1952.0,Pinturas,14.5,29.0,2021,32000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_988896.jpg,https://www.catalogodasartes.com.br/obra/PcccPt/,True,outro,,,,,,,,,,
Ismael Nery,Desenho à lápis,,Pinturas,14.0,26.0,2007,12000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2659.jpg,https://www.catalogodasartes.com.br/obra/GtBP/,True,desenho,,,,,,,,,,
Carlos Bracher,Óleo sobre Tela,1981.0,Pinturas,73.0,54.0,2007,3000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3106.jpg,https://www.catalogodasartes.com.br/obra/zDet/,False,pintura,,,,,,,,,,
Jose Antonio da Silva,Óleo sobre Tela,1973.0,Pinturas,100.0,70.0,2007,10000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1070.jpg,https://www.catalogodasartes.com.br/obra/DeAe/,False,pintura,,,,,,,,,,
Candido Portinari,Serigrafia,,Pinturas,50.0,70.0,2009,2900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_35264.jpg,https://www.catalogodasartes.com.br/obra/zBGtU/,False,reprodução,,,,,,,,,,
Candido Portinari,monotipia,1944.0,Pinturas,17.0,27.0,2012,39000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_84250.jpg,https://www.catalogodasartes.com.br/obra/cUGBe/,True,outro,,,,,,,,,,
Candido Portinari,Gravura a ponta seca,1942.0,Pinturas,20.0,26.0,2015,20500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_210603.jpg,https://www.catalogodasartes.com.br/obra/GDetez/,True,reprodução,,,,,,,,,,
Candido Portinari,Óleo sobre madeira,1952.0,Pinturas,37.0,31.0,2018,395500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_781212.jpg,https://www.catalogodasartes.com.br/obra/AcDGDG/,False,pintura,,,,,,,,,,
Di Cavalcanti,Xilogravura impressa sobre papel,1970.0,Pinturas,40.0,47.0,2007,1600.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_581.jpg,https://www.catalogodasartes.com.br/obra/BcD/,True,reprodução,,,,,,,,,,
Candido Portinari,Grafite,,Pinturas,21.5,19.0,2011,20000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_62542.jpg,https://www.catalogodasartes.com.br/obra/tGBUG/,False,desenho,,,,,,,,,,
,Óleo sobre Tela,,Pinturas,40.0,50.0,2004,750000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_215.jpg,https://www.catalogodasartes.com.br/obra/GDB/,True,pintura,,,,,,,,,,
Di Cavalcanti,Óleo sobre Tela,1970.0,Pinturas,46.0,38.0,2005,125000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1134.jpg,https://www.catalogodasartes.com.br/obra/DDzU/,True,pintura,,,,,,,,,,
Candido Portinari,Técnica mista sobre papel,1957.0,Pinturas,9.0,25.0,2017,21000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_763716.jpg,https://www.catalogodasartes.com.br/obra/AtzADt/,False,outro,,,,,,,,,,
Jos,Óleo sobre Tela,1944.0,Pinturas,60.0,73.0,2007,200000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_544.jpg,https://www.catalogodasartes.com.br/obra/BUU/,False,pintura,,,,,,,,,,
Rubem Valentim,Acrílica sobre tela,1983.0,Pinturas,27.0,41.0,2007,4100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2446.jpg,https://www.catalogodasartes.com.br/obra/GUUt/,True,pintura,,,,,,,,,,
Ivan Serpa,Óleo sobre Tela,1962.0,Pinturas,46.0,33.0,2007,11600.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2485.jpg,https://www.catalogodasartes.com.br/obra/GUcB/,True,pintura,,,,,,,,,,
Candido Portinari,Grafite sobre cartão,,Pinturas,15.0,25.0,2014,22800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_148250.jpg,https://www.catalogodasartes.com.br/obra/DUcGBe/,True,desenho,,,,,,,,,,
Abelardo Zaluar,Técnica Mista,,Pinturas,90.0,90.0,2007,4300.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2344.jpg,https://www.catalogodasartes.com.br/obra/GzUU/,True,outro,,,,,,,,,,
Candido Portinari,Reprografia sobre papel,,Pinturas,73.0,60.0,2020,3700.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_933488.jpg,https://www.catalogodasartes.com.br/obra/PzzUcc/,True,outro,,,,,,,,,,
Candido Portinari,Técnica mista sobre papel,,Pinturas,47.0,68.0,2021,1780.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_991123.jpg,https://www.catalogodasartes.com.br/obra/PPDDGz/,True,outro,,,,,,,,,,
Candido Portinari,Óleo sobre Tela,1953.0,Pinturas,55.0,46.0,1998,96600.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_249.jpg,https://www.catalogodasartes.com.br/obra/GUP/,True,pintura,,,,,,,,,,
Ant,Aquarela,1960.0,Pinturas,16.0,21.0,2003,11550.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1454.jpg,https://www.catalogodasartes.com.br/obra/DUBU/,True,pintura,,,,,,,,,,
Emeric Marcier,Óleo sobre Tela,1966.0,Pinturas,73.0,54.0,2007,26000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2461.jpg,https://www.catalogodasartes.com.br/obra/GUtD/,True,pintura,,,,,,,,,,
Joao Baptista da Costa,Óleo sobre Tela,,Pinturas,49.0,36.0,2003,22000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1510.jpg,https://www.catalogodasartes.com.br/obra/DBDe/,True,pintura,,,,,,,,,,
Candido Portinari,Técnica mista sobre cartão,1933.0,Pinturas,16.5,14.0,2021,18000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_988895.jpg,https://www.catalogodasartes.com.br/obra/PcccPB/,True,outro,,,,,,,,,,
Antonio Poteiro,Óleo sobre Tela,,Pinturas,30.0,25.0,2007,900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3008.jpg,https://www.catalogodasartes.com.br/obra/zeec/,True,pintura,,,,,,,,,,
Inos Corradin,Óleo sobre Tela,1980.0,Pinturas,30.0,40.0,2007,1100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_666.jpg,https://www.catalogodasartes.com.br/obra/ttt/,True,pintura,,,,,,,,,,
Candido Portinari,Serigrafia,,Pinturas,49.0,58.0,2022,900.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1025169.jpg,https://www.catalogodasartes.com.br/obra/DeGBDtP/,True,reprodução,,,,,,,,,,
Djanira da Motta e Silva,Nanquim,,Pinturas,55.0,37.0,2007,5400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1889.jpg,https://www.catalogodasartes.com.br/obra/DccP/,True,desenho,,,,,,,,,,
Rubens Gerchman,Óleo sobre Tela,1994.0,Pinturas,120.0,150.0,2007,18500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_614.jpg,https://www.catalogodasartes.com.br/obra/tDU/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho à lápis,,Pinturas,32.0,48.0,2018,30000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_795491.jpg,https://www.catalogodasartes.com.br/obra/APBUPD/,False,desenho,,,,,,,,,,
Ant,Óleo sobre Tela,1964.0,Pinturas,73.0,60.0,2005,60000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1398.jpg,https://www.catalogodasartes.com.br/obra/DzPc/,True,pintura,,,,,,,,,,
Candido Portinari,Grafite sobre papel Kraft,1940.0,Pinturas,28.0,30.0,2021,30000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_990794.jpg,https://www.catalogodasartes.com.br/obra/PPeAPU/,True,desenho,,,,,,,,,,
Gilvan Samico,Xilogravura sobre papel de arroz,1965.0,Pinturas,26.5,33.0,2007,1800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_800.jpg,https://www.catalogodasartes.com.br/obra/cee/,True,reprodução,,,,,,,,,,
Jose Leonilson Bezerra Dias,Guache e monotipia de guache sobre papel,1982.0,Pinturas,22.0,33.0,2007,3700.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2361.jpg,https://www.catalogodasartes.com.br/obra/GztD/,True,pintura,,,,,,,,,,
Candido Portinari,Óleo sobre Tela,1936.0,Pinturas,60.0,73.0,2008,440000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_19899.jpg,https://www.catalogodasartes.com.br/obra/DPcPP/,False,pintura,,,,,,,,,,
Anna Letycia,Acrílica sobre papel,2000.0,Pinturas,76.5,58.0,2007,2400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_633.jpg,https://www.catalogodasartes.com.br/obra/tzz/,True,pintura,,,,,,,,,,
Candido Portinari,Guache sobre cartão,1959.0,Pinturas,32.0,8.5,2021,52000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_981603.jpg,https://www.catalogodasartes.com.br/obra/PcDtez/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho a caneta sobre papel,,Pinturas,10.0,7.0,2013,12000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_124166.jpg,https://www.catalogodasartes.com.br/obra/DGUDtt/,False,desenho,,,,,,,,,,
Di Cavalcanti,Grafite e aquarela,1929.0,Pinturas,24.0,32.0,2004,236000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1120.jpg,https://www.catalogodasartes.com.br/obra/DDGe/,True,pintura,,,,,,,,,,
Cicero Dias,Aquarela,,Pinturas,21.0,28.0,2007,61000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1209.jpg,https://www.catalogodasartes.com.br/obra/DGeP/,True,pintura,,,,,,,,,,
Alberto Guignard,Óleo sobre madeira,1946.0,Pinturas,13.0,9.0,1999,14700.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1358.jpg,https://www.catalogodasartes.com.br/obra/DzBc/,True,pintura,,,,,,,,,,
Antonio Dias,"Acrílico,alumínio e madeira",1968.0,Pinturas,33.0,23.0,1999,13650.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_151.jpg,https://www.catalogodasartes.com.br/obra/DBD/,True,pintura,,,,,,,,,,
Candido Portinari,Grafite e crayon sobre papel,,Pinturas,10.0,41.0,2018,25500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_856574.jpg,https://www.catalogodasartes.com.br/obra/cBtBAU/,True,desenho,,,,,,,,,,
Ivan Marquetti,Óleo sobre Tela,1973.0,Pinturas,20.0,35.0,2007,1100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_695.jpg,https://www.catalogodasartes.com.br/obra/tPB/,True,pintura,,,,,,,,,,
Ant,Óleo sobre Tela,1967.0,Pinturas,81.0,100.0,2002,220500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1382.jpg,https://www.catalogodasartes.com.br/obra/DzcG/,True,pintura,,,,,,,,,,
Candido Portinari,Óleo sobre cartão,1956.0,Pinturas,34.0,13.0,2016,400000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_722537.jpg,https://www.catalogodasartes.com.br/obra/AGGBzA/,False,pintura,,,,,,,,,,
Jenner Augusto,Óleo sobre Tela,1966.0,Pinturas,60.0,131.0,2007,1600.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_766.jpg,https://www.catalogodasartes.com.br/obra/Att/,True,pintura,,,,,,,,,,
Milton Dacosta,Guache sobre caixa de fósforo,,Pinturas,11.0,4.5,2007,1400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1673.jpg,https://www.catalogodasartes.com.br/obra/DtAz/,True,pintura,,,,,,,,,,
Candido Portinari,Gravura a ponta-seca e guache sobre papel,1942.0,Pinturas,21.0,28.0,2013,17000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_99401.jpg,https://www.catalogodasartes.com.br/obra/PPUeD/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho à grafite,1936.0,Pinturas,39.0,46.0,2017,20000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_763706.jpg,https://www.catalogodasartes.com.br/obra/AtzAet/,False,desenho,,,,,,,,,,
Candido Portinari,Nanquim e bico de pena,1959.0,Pinturas,24.2,34.2,2019,59000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_889466.jpg,https://www.catalogodasartes.com.br/obra/ccPUtt/,True,desenho,,,,,,,,,,
Candido Portinari,Técnica mista sobre papel,1943.0,Pinturas,15.0,15.0,2019,15000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_929267.jpg,https://www.catalogodasartes.com.br/obra/PGPGtA/,True,outro,,,,,,,,,,
Judith Lauand,Óleo sobre Tela,1973.0,Pinturas,40.0,40.0,2007,25000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2071.jpg,https://www.catalogodasartes.com.br/obra/GeAD/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho a lapis de cor e aquarela,1957.0,Pinturas,16.5,23.0,2017,12000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_761424.jpg,https://www.catalogodasartes.com.br/obra/AtDUGU/,True,pintura,,,,,,,,,,
Armando Romanelli,Óleo sobre Tela,1986.0,Pinturas,70.0,100.0,2007,6000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_692.jpg,https://www.catalogodasartes.com.br/obra/tPG/,True,pintura,,,,,,,,,,
Ant,Guache e nanquim,1956.0,Pinturas,27.5,39.0,1999,19430.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1409.jpg,https://www.catalogodasartes.com.br/obra/DUeP/,True,pintura,,,,,,,,,,
Candido Portinari,Desenho a nanquim,1961.0,Pinturas,14.2,20.5,2015,40000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_204555.jpg,https://www.catalogodasartes.com.br/obra/GeUBBB/,True,desenho,,,,,,,,,,
Rubens Gerchman,Acrílica sobre tela,1966.0,Pinturas,120.0,120.0,2007,46000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_462.jpg,https://www.catalogodasartes.com.br/obra/UtG/,True,pintura,,,,,,,,,,
Orlando Teruz,Óleo sobre Tela,1983.0,Pinturas,65.0,81.0,2007,26000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_680.jpg,https://www.catalogodasartes.com.br/obra/tce/,True,pintura,,,,,,,,,,
Hector Julio Paride Bernab,Vinil sobre tela e lona,1993.0,Pinturas,50.0,35.0,2007,12000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3063.jpg,https://www.catalogodasartes.com.br/obra/zetz/,True,pintura,,,,,,,,,,
Candido Portinari,Lápis de cor sobre papel,1958.0,Pinturas,38.0,27.0,2007,75000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_3985.jpg,https://www.catalogodasartes.com.br/obra/zPcB/,True,desenho,,,,,,,,,,
Candido Portinari,Monotipia sobre cartão,1948.0,Pinturas,24.0,32.0,2021,108000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_994853.jpg,https://www.catalogodasartes.com.br/obra/PPUcBz/,False,outro,,,,,,,,,,
Jorge Guinle Filho,Óleo sobre Tela,,Pinturas,100.0,60.0,2007,16000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_629.jpg,https://www.catalogodasartes.com.br/obra/tGP/,True,pintura,,,,,,,,,,
Orlando Teruz,Óleo sobre Tela,1972.0,Pinturas,27.0,36.0,2007,15000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_884.jpg,https://www.catalogodasartes.com.br/obra/ccU/,False,pintura,,,,,,,,,,
Antonio Poteiro,Óleo sobre Tela,1992.0,Pinturas,69.0,59.0,2007,4500.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2875.jpg,https://www.catalogodasartes.com.br/obra/GcAB/,True,pintura,,,,,,,,,,
Mario Zanini,Óleo sobre Tela,,Pinturas,65.5,54.0,2007,10800.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_652.jpg,https://www.catalogodasartes.com.br/obra/tBG/,True,pintura,,,,,,,,,,
Alexandre Rapoport,Óleo sobre eucatex,1995.0,Pinturas,46.0,60.0,2007,6000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1743.jpg,https://www.catalogodasartes.com.br/obra/DAUz/,False,pintura,,,,,,,,,,
