Contemporâneo,Figurativo,Pop,Moderno,Conceitual,Abstrato,Retrato,Surrealista,Outro Tema,Paisagem,Natureza,Clássico,Realista,Minimalista,Expressionista,Vintage,Streetart,Impressionista,Pintura,Gravura,Técnica Mista,Outra Técnica,Desenho,Escultura,Fotografia,Livro,Colorido,Monocromático,Size,Price,Artist,Title,Image_Url,Marketplace
False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1700.0,3500.0,Francisco Rebolo,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4996/OgZtxuxklzi8lyCYAJGboX12052023102206.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1350.0,5200.0,Rafael Adorján,RELIGARE 02,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/176/5Kyj8xR0cg1q7xqNc5LFwD22032022201939.webp,Artsoul
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1200.0,900.0,Sa Passos,Deep Purple,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17647/MmdUqXydibI1Z77uhWlWyK20062023114921.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1600.0,2000.0,AUGUSTO SAMPAIO,Componentes Gráficos (série),https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6862/22BSSolFBLiA8BWcU5MRQ423032022082937.webp,Artsoul
True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3500.0,4000.0,Sissi Kleuser,Clave de Fa,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4986/zlF7EUUa1XdY48lQii4GDS23032022063257.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1632.0,2000.0,Yedda Affini dos Santos,Ayabá,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/702/G3XatU9ZlmKUy5rX2YV2Jt22032022214721.webp,Artsoul
False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6400.0,5000.0,Valéria khouri,Série : Viagem Ao Centro Da Terra,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/16938/rTrzW6hIJggAavP3loDlsT13012023083819.webp,Artsoul
True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,10527.0,4500.0,Guto Goulart,sem título-Série Abstratos (Untitled-Abstract Series),https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4147/GLCHiU8YB5FHT3249lgII023032022043127.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2500.0,5000.0,Rodrigo Gontijo,No Meio do Redemunho,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17062/ZtLCywiETV9ZDxjIXQhEPh01032023171245.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,900.0,4000.0,Marco Buti,Sem título 2,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/3119/3uBO6ctxmcSdOcpR5sYFmi23032022030636.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,10720.0,30000.0,ITELVINO JAHN,Itelvino Jahn - Escultura,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/12206/hjWbjGTwqk5HqrVFDUhBJZ23032022230050.webp,Artsoul
